wav,transcript,accent
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0081.wav,What if she did not come to the rock,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0082.wav,His face was streaming with blood,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0083.wav,A shadow was creeping over Pierre's eyes,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0084.wav,Scarcely had he uttered the name when Pierre's closing eyes shot open,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0085.wav,A trickle of fresh blood ran over his face,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0086.wav,Death had come with terrible suddenness,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0087.wav,Philip bent lower and stared into the face of the dead man,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0088.wav,He made sure that the magazine was loaded and resumed his paddling,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0089.wav,The night glow was treacherous to shoot by,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0090.wav,The singing voice approached rapidly,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0091.wav,His blood grew hot with rage at the thought,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0092.wav,He went down in midstream searching the shadows of both shores,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0093.wav,For a full minute he crouched and listened,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0094.wav,He had barely entered this when he saw the glow of a fire,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0095.wav,A big canvas tent was the first thing to come within his vision,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0096.wav,Perhaps she had already met her fate a little deeper in the forest,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0097.wav,Then you can arrange yourself comfortably among these robes in the bow,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0098.wav,Shall I carry you,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0099.wav,A maddening joy pounded in his brain,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0100.wav,You must sleep he urged,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0101.wav,You you would not keep the truth from me,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0102.wav,He will follow us soon,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0103.wav,But there came no promise from the bow of the canoe,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0104.wav,She was sleeping under his protection as sweetly as a child,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0105.wav,Only it is so wonderful so almost impossible to believe,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0106.wav,The emotion which she had suppressed burst forth now in a choking sob,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0107.wav,If you only could know how I thank you,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0108.wav,He waded into the edge of the water and began scrubbing himself,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0109.wav,Do you know that you are shaking my confidence in you,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0110.wav,Much replied Jeanne as tersely,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0111.wav,Instead he joined her and they ate like two hungry children,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0112.wav,He was wounded in the arm,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0113.wav,I suppose you picked that lingo up among the Indians,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0114.wav,Her words sent a strange chill through Philip,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0115.wav,He had no excuse for the feelings which were aroused in him,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0116.wav,Was it the rendezvous of those who were striving to work his ruin,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0117.wav,She added with genuine sympathy in her face and voice,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0118.wav,Pierre obeys me when we are together,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0119.wav,Jeanne was turning the bow shoreward,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0120.wav,My right foot feels like that of a Chinese debutante,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0121.wav,They ate dinner at the fifth and rested for two hours,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0122.wav,Two years ago I gave up civilization for this,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0123.wav,She had died from cold and starvation,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0124.wav,It was Jeanne singing softly over beyond the rocks,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0125.wav,He was determined now to maintain a more certain hold upon himself,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0126.wav,Each day she became a more vital part of him,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0127.wav,It was a temptation but he resisted it,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0128.wav,This one hope was destroyed as quickly as it was born,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0129.wav,Her face was against his breast,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0130.wav,She was his now forever,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0131.wav,Providence had delivered him through the maelstrom,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0132.wav,A cry of joy burst from Philip's lips,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0133.wav,Philip began to feel that he had foolishly overestimated his strength,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0134.wav,He obeyed the pressure of her hand,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0135.wav,I am going to surprise father and you will go with Pierre,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0136.wav,About him everywhere were the evidences of luxury and of age,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0137.wav,Then he stepped back with a low cry of pleasure,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0138.wav,In the picture he saw each moment a greater resemblance to Jeanne,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0139.wav,He told himself that as he washed himself and groomed his disheveled clothes,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0140.wav,Accept a father's blessing and with it this,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0141.wav,It seems like a strange pointing of the hand of God,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0142.wav,Such things had occurred before he told Philip,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0143.wav,Ah I had forgotten he exclaimed,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0144.wav,But there was something even more startling than this resemblance,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0145.wav,I have to be careful of them as they tear very easily,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0146.wav,Of course that is uninteresting she continued,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0147.wav,A moment before he was intoxicated by a joy that was almost madness,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0148.wav,Now these things had been struck dead within him,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0149.wav,For an instant he saw Pierre drawn like a silhouette against the sky,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0150.wav,Goodbye Pierre he shouted,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0151.wav,And MacDougall was beyond the trail with three weeks to spare,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0152.wav,Philip thrust himself against it and entered,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0153.wav,MacDougall tapped his forehead suspiciously with a stubby forefinger,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0154.wav,He was smooth shaven and his hair and eyes were black,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0155.wav,Won't you draw up gentlemen,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0156.wav,A strange fire burned in his eyes when Thorpe turned,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0157.wav,He had worshiped her as Dante might have worshiped Beatrice,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0158.wav,Does that look good,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0159.wav,They look as though he had been drumming a piano all his life,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0160.wav,You want to go over and see his gang throw dirt,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0161.wav,Take away their foreman and they wouldn't be worth their grub,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0162.wav,That's the sub foreman explained Thorpe,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0163.wav,Philip made no effort to follow,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0164.wav,He came first a year ago and revealed himself to Jeanne,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0165.wav,They are to attack your camp tomorrow night,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0166.wav,Two days ago Jeanne learned where her father's men were hiding,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0167.wav,I was near the cabin and saw you,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0168.wav,A low bush whipped him in the face and left no sting,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0169.wav,Suddenly Jeanne stopped for an instant,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0170.wav,There was none of the joy of meeting in his face,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0171.wav,And when you come back in a few days bring Eileen,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0172.wav,Gregson had left the outer door slightly ajar,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0173.wav,The date was nearly eighteen years old,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0174.wav,They were the presage of storm,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0175.wav,Down there the earth was already swelling with life,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0176.wav,For the first time in his life he was yearning for a scrap,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0177.wav,She had been thoroughly and efficiently mauled,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0178.wav,Every bone in her aged body seemed broken or dislocated,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0179.wav,Tomorrow I'm going after that bear he said,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0180.wav,If not let's say our prayers and go to bed,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0181.wav,So cheer up and give us your paw,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0182.wav,This time he did not yap for mercy,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0183.wav,And the air was growing chilly,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0184.wav,Don't you see I'm chewing this thing in two,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0185.wav,The questions may have come vaguely in his mind,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0186.wav,Like a flash he launched himself into the feathered mass of the owl,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0187.wav,Ahead of them they saw a glimmer of sunshine,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0188.wav,Two gigantic owls were tearing at the carcass,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0189.wav,The big eyed clucking moose birds were most annoying,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0190.wav,Next to them the Canada jays were most persistent,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0191.wav,For a time the exciting thrill of his adventure was gone,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0192.wav,He did not rush in,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0193.wav,It was edged with ice,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0194.wav,He drank of the water cautiously,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0195.wav,But a strange thing happened,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0196.wav,He began to follow the footprints of the dog,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0197.wav,Such a dog the wise driver kills or turns loose,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0198.wav,Sometimes her dreams were filled with visions,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0199.wav,Thus had the raw wilderness prepared him for this day,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0200.wav,He leapt again and the club caught him once more,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0201.wav,He cried and swung the club wildly,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0202.wav,She turned fearing that Jacques might see what was in her face,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0203.wav,They were following the shore of a lake,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0204.wav,The wolf dog thrust his gaunt muzzle toward him,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0205.wav,From now on we're pals,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0206.wav,He says he bought him of Jacques Le Beau,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0207.wav,How much was it,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0208.wav,Youth had come back to her freed from the yoke of oppression,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0209.wav,It was not a large lake and almost round,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0210.wav,Its diameter was not more than two hundred yards,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0211.wav,It drowned all sound that brute agony and death may have made,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0212.wav,Fresh cases still able to walk they clustered about the spokesman,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0213.wav,Between him and the beach was the cane grass fence of the compound,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0214.wav,Besides he was paid one case of tobacco per head,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0215.wav,They die out of spite,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0216.wav,The other felt a sudden wave of irritation rush through him,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0217.wav,Oppressive as the heat had been it was now even more oppressive,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0218.wav,The ringing of the big bell aroused him,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0219.wav,At first he puzzled over something untoward he was sure had happened,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0220.wav,A dead man is of no use on a plantation,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0221.wav,I don't know why you're here at all,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0222.wav,What part of the United States is your home,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0223.wav,My I'm almost homesick for it already,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0224.wav,She nodded and her eyes grew soft and moist,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0225.wav,I was brought up the way most girls in Hawaii are brought up,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0226.wav,That came before my A B C's,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0227.wav,It was the same way with our revolvers and rifles,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0228.wav,But it contributed to the smash,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0229.wav,The last one I knew was an overseer,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0230.wav,Do you know any good land around here,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0231.wav,The Resident Commissioner is away in Australia,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0232.wav,I cannot follow you she said,Female Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ZHAA\ZHAA\wav\arctic_a0233.wav,I never allow what can't be changed to annoy me,Female Arabic
